Calendar Date,Week End Date,YYYY Mm,Queue,Vendor Location Detail,Agent Name,CSR Completed In Service Level,CSR Completed Out Of Service Level,CSR Complete Total,CSR Escalation,CSR Redirect Total,EPH Count,EPH Time,EPH,MSG Age
8/31/2014,9/6/2014,2014-08,SMB-BusinessMail-Tech-FL,SMB - Agents,azmathm,23,1,24,1,0,22,"12,159",7,"15,363"
8/31/2014,9/6/2014,2014-08,SMB-BusinessMail-Tech-FL,SMB - Agents,deenavb,5,1,6,0,0,4,"6,273",3,"4,457"
8/31/2014,9/6/2014,2014-08,SMB-BusinessMail-Tech-phone-ET,SMB - Agents,eshanan,1,0,1,0,0,,,,29
8/31/2014,9/6/2014,2014-08,SMB-Domains-Tech-FL,SMB - Agents,arifha,3,0,3,0,0,7,"2,145",5,"2,541"
8/31/2014,9/6/2014,2014-08,SMB-Domains-Tech-FL,SMB - Agents,arunya,40,19,59,0,0,55,"14,539",15,"64,867"
8/31/2014,9/6/2014,2014-08,SMB-Domains-Tech-FL,SMB - Agents,ashishk1,5,0,5,0,0,5,"7,414",2,"6,719"
8/31/2014,9/6/2014,2014-08,SMB-Domains-Tech-FL,SMB - Agents,raghavsa,9,17,26,1,1,27,"19,764",5,"41,708"
8/31/2014,9/6/2014,2014-08,SMB-LocalEnhanced-Tech-FL,SMB - Agents,azmathm,0,4,4,0,0,,,,"20,055"
8/31/2014,9/6/2014,2014-08,SMB-LocalEnhanced-Tech-FL,SMB - Agents,shafath,0,15,15,0,0,,,,"383,511"
8/31/2014,9/6/2014,2014-08,SMB-MerchantSolutions-Tech-FL,SMB - Agents,deenavb,1,0,1,0,0,1,"1,910",2,176
8/31/2014,9/6/2014,2014-08,SMB-MerchantSolutions-Tech-FL,SMB - Agents,maryjert,7,0,7,0,0,8,"20,562",1,"1,481"
8/31/2014,9/6/2014,2014-08,SMB-SMBOther-Tech-FL,SMB - Agents,ashishk1,1,13,14,0,0,16,"2,387",21,"38,276"
8/31/2014,9/6/2014,2014-08,SMB-SocialMedia-Tech-FL,SMB - Agents,ashishk1,0,10,10,0,1,10,"1,009",36,"31,335"
8/31/2014,9/6/2014,2014-08,SMB-WebHosting-Tech-FL,SMB - Agents,amreenb,4,9,13,0,0,14,"23,397",2,"26,405"
8/31/2014,9/6/2014,2014-08,SMB-WebHosting-Tech-FL,SMB - Agents,ancilava,4,1,5,0,0,5,"2,477",7,"3,715"
