Date,Agent Name,Split/Skill,ACD Calls,Avg ACD Time,Avg ACW Time,ACD Time,ACW Time,Agent Ring Time,Other Time,AUX Time,Avail Time,Staffed Time,Assists,Trans Out,Held Calls,Avg Hold Time,TOTAL_I_ACDHOLD
2014-10-01,dainva,YSB Cancel Save,0,,,0,0,0,8665,19017,4455,32137,0,0,0,,0
2014-10-01,dainva,YSB Managed Accounts,2,163.5,220.5,327,441,10,7887,19017,4455,32137,0,0,1,387,387
2014-10-01,dainva,YSB Outbound,0,,,0,0,0,8665,19017,4455,32137,0,0,0,,0
2014-10-01,dainva,YSB MerchantSolution,3,685.666687,172.3333282,2057,517,23,6068,19017,4455,32137,0,1,2,238,476
2014-10-01,dainva,375,5,790.5999756,144.3999939,3953,722,52,3938,19017,4455,32137,0,0,1,153,153
2014-10-01,azmathm,YSB Cancel Save,0,,,0,0,0,4422,19028,10037,33487,0,0,0,,0
2014-10-01,azmathm,YSB Managed Accounts,0,,,0,0,0,4422,19028,10037,33487,0,0,0,,0
2014-10-01,azmathm,YSB Outbound,0,,,0,0,0,4422,19028,10037,33487,0,0,0,,0
2014-10-01,azmathm,YSB MerchantSolution,1,2604,376,2604,376,7,1435,19028,10037,33487,0,0,1,562,562
2014-10-01,azmathm,375,2,165.5,264.5,331,529,13,3549,19028,10037,33487,0,0,0,,0
2014-10-01,ramzay,YSB T3 Billing,0,,,0,0,0,507,22727,9870,33104,0,0,0,,0
2014-10-01,ramzay,YSM Tier 3 Small Biz,6,76.16666412,0.166666672,457,1,49,0,22727,9870,33104,0,0,0,,0
2014-10-01,dilipd,YSB T3 Billing,0,,,0,0,0,3048,69704,13640,86392,0,0,0,,0
2014-10-01,dilipd,YSM Tier 3 Small Biz,12,250.0833282,0,3001,0,38,9,69704,13640,86392,0,0,0,,0
2014-10-01,bhuvanes,YSB Cancel Save,0,,,0,0,0,2273,22076,8175,32524,0,0,0,,0
2014-10-01,bhuvanes,VHT MS Tech,0,,,0,0,0,2273,22076,8175,32524,0,0,0,,0
2014-10-01,bhuvanes,YSB Outbound,0,,,0,0,0,2273,22076,8175,32524,0,0,0,,0
2014-10-01,bhuvanes,YSB MerchantSolution,0,,,0,0,0,2273,22076,8175,32524,0,0,0,,0
2014-10-01,bhuvanes,375,3,426,112,1278,336,58,601,22076,8175,32524,0,0,2,189,378
2014-10-01,yamuna,YSB T3 Billing,0,,,0,0,0,1953,25491,12089,39533,0,0,0,,0
2014-10-01,yamuna,YSM Tier 3 Small Biz,7,270,0.571428597,1890,4,47,12,25491,12089,39533,0,0,0,,0
2014-10-01,bharath1,YSB Cancel Save,0,,,0,0,0,6443,8493,18109,33045,0,0,0,,0
2014-10-01,bharath1,YSB Managed Accounts,1,1178,212,1178,212,14,5039,8493,18109,33045,0,0,0,,0
2014-10-01,bharath1,YSB Outbound,0,,,0,0,0,6443,8493,18109,33045,0,0,0,,0
