SBT Interview End Date,Week End Date,YYYY Mm,SBT Case ID,SBT Response ID,SBT Agent,SBT Channel Name,SBT Msg Created,SBT Close Date,SBT Contact Count,SBT Queue Nm,SBT Vendor Name,SBT Location Name,SBT Message Age,SBT Q1 (Email overall score),SBT Q2 (Was your issue resovled?),SBT Q201(NPS),SBT Q200(Ease of contact Customer Care),SBT Q186 (Verbatim),FCR,FCR Count
2014-06-29l,2014-07-05l,2014-06,140625-057952,1151071,dainva,Email,2014-06-25l,2014-06-29l,0,AMR-EN-YahooAccts-T1,SMB - Agents,SMB - Agents,4720,8,1,8,10,,1,1
2014-06-29l,2014-07-05l,2014-06,140625-064834,1151074,arifha,Email,2014-06-25l,2014-06-29l,0,AMR-EN-Mail-Tech-T1,SMB - Agents,SMB - Agents,4587,9,1,9,9,I have a huge problem accessing my mail account abroad. The Yahoo security kept asking question which I don't remember the answer. I had tried to set up news questions but it was never registered in the system. Yahoo still asks the old set of questions which I don't have the answers. Please help! What should I do.,1,1
2014-06-29l,2014-07-05l,2014-06,140625-054127,1151083,arifha,Email,2014-06-25l,2014-06-29l,0,AMR-EN-Mail-Tech-T1,SMB - Agents,SMB - Agents,4799,8,1,10,3,Thank you for your prompt help. GOOD JOB!,1,1
2014-06-29l,2014-07-05l,2014-06,140624-074981,1151090,nadeemk,Email,2014-06-24l,2014-06-29l,0,SMB-Domains-Tech-FL,SMB - Agents,SMB - Agents,5832,3,2,3,5,"Yahoo transfer my domains to registrar that are not easy to contact. I love to move it to company that will always attend to my needs each time I contacted them.

I need my authorization for AGBADO.COM  and 
AUTODIAGNOSTICSNIGERIA.COM",0,1
2014-06-29l,2014-07-05l,2014-06,140625-020189,1151129,nadeemk,Email,2014-06-25l,2014-06-29l,0,SMB-WebHosting-Tech-FL,SMB - Agents,SMB - Agents,5354,1,2,1,1,,0,1
2014-06-29l,2014-07-05l,2014-06,140624-010770,1151139,haritas,Email,2014-06-24l,2014-06-29l,0,AMR-EN-Mail-Tech-T1,SMB - Agents,SMB - Agents,6998,10,1,8,10,,1,1
2014-06-29l,2014-07-05l,2014-06,140624-074993,1151169,ashishk1,Email,2014-06-24l,2014-06-29l,0,AMR-EN-Mail-Tech-T1,SMB - Agents,SMB - Agents,5832,10,1,10,10,Thank you,1,1
2014-06-29l,2014-07-05l,2014-06,140624-069496,1151187,sushimd,Email,2014-06-24l,2014-06-29l,0,SMB-WebHosting-Tech-FL,SMB - Agents,SMB - Agents,5963,2,2,5,3,My last interaction with the support team was an email basically saying that someone may or may not be still working on a solution and thanks for using yahoo.  No fix or admission that there was not a fix found.  Very frustrating. ,0,1
2014-06-29l,2014-07-05l,2014-06,140625-017649,1151251,thahasee,Email,2014-06-25l,2014-06-29l,0,SMB-WebHosting-Tech-FL,SMB - Agents,SMB - Agents,5395,1,2,1,1,Evertthing was working fine until you forced me to change to your new yahoo business email which is not working coreectly???,0,1
2014-06-29l,2014-07-05l,2014-06,140625-016305,1151253,azmathm,Email,2014-06-25l,2014-06-29l,0,AMR-EN-Mail-Tech-T1,SMB - Agents,SMB - Agents,5420,1,2,1,1,Please help me with apple.imap.mail.yahoo.com error problem!,0,1
2014-06-29l,2014-07-05l,2014-06,140624-067945,1151315,jitender,Email,2014-06-24l,2014-06-29l,0,SMB-BusinessMail-Tech-FL,SMB - Agents,SMB - Agents,5999,1,2,1,1,Service used to be excellent. Now it is horrible. You eliminated the call back feature. I waited for an hour and a half on hold twice and had to hang up.  I am quite furious with yahoo at this time.,0,1
2014-06-29l,2014-07-05l,2014-06,140625-047463,1151325,azmathm,Email,2014-06-25l,2014-06-29l,0,AMR-EN-Mail-Tech-T1,SMB - Agents,SMB - Agents,4911,2,2,1,7,"Unless you solve the excessive delay in sending mails between users,I can't reccomend Yahoo to others.Old mails  and enclosed attachments fail to open frequently.",0,1
2014-06-29l,2014-07-05l,2014-06,140625-040808,1151352,jaditya,Email,2014-06-25l,2014-06-29l,0,AMR-EN-Mail-Tech-T1,SMB - Agents,SMB - Agents,5022,1,2,1,1,Your e-mail support stinks!. I called 2 times and was on hold for 6 minutes and then disconnected each time. Never spoke to anyone. ,0,1
2014-06-29l,2014-07-05l,2014-06,140629-007382,1151354,bharath1,Phone,2014-06-29l,2014-06-29l,0,AMR-EN-YahooAcct-Phone-Tech-T1,SMB - Agents,SMB - Agents,0,10,1,10,10,No,1,1
2014-06-29l,2014-07-05l,2014-06,140625-036743,1151366,dainva,Email,2014-06-25l,2014-06-29l,0,SMB-MarketingDashboard-Tech-FL,SMB - Agents,SMB - Agents,5094,1,2,1,5,"You didn't help me at all.  You sent me an email saying you don't help people you aren't paying you.  That's ridiculous.  I understand having to put limits on who you help for free, but if you are going to offer free basic business listings, you should have to support questions to some degree.  My listing has been marked as pending for months.  I have no idea why, you could at least tell me why and what I need to do to fix it.  Terrible customer service as always.  I switched all my business mail to gmail because of situations exactly like this.  If I didn't have my yahoo email connected to so many accounts I would do the same for my personal email. ",0,1
2014-06-29l,2014-07-05l,2014-06,140625-043492,1151370,azmathm,Email,2014-06-25l,2014-06-29l,0,AMR-EN-Mail-Tech-T1,SMB - Agents,SMB - Agents,4978,10,1,8,5,,1,1
2014-06-29l,2014-07-05l,2014-06,140624-051160,1151381,jaditya,Email,2014-06-24l,2014-06-29l,0,SMB-WebHosting-Tech-FL,SMB - Agents,SMB - Agents,6339,1,2,1,1,Yahoo makes it impossible to contact customer support directly.  My business is suffering as a result.,0,1
2014-06-29l,2014-07-05l,2014-06,140625-030034,1151428,christur,Email,2014-06-25l,2014-06-29l,0,SMB-WebHosting-Tech-FL,SMB - Agents,SMB - Agents,5198,1,2,1,5,,0,1
2014-06-29l,2014-07-05l,2014-06,140624-055046,1151429,arifha,Email,2014-06-24l,2014-06-29l,0,SMB-WebHosting-Tech-FL,SMB - Agents,SMB - Agents,6260,1,2,1,5,,0,1
2014-06-29l,2014-07-05l,2014-06,140623-018507,1151434,azmathm,Email,2014-06-23l,2014-06-29l,0,AMR-EN-Mail-Tech-T1,SMB - Agents,SMB - Agents,8282,9,1,6,1,"Positive: I was very satisfied with how fast the problem was resolved, and I received an email update rather quickly.
Negative: It took a very long time to connect with the right people.
1. I tried calling the telephone number that is provided in the customer support section and waited on hold for 1/2 hour, but no one answered. 
2. At that number, I tried pressing the option for problems with other devices, but always got an 'our office is closed message' regardless of the day of week or time of day. 
3. I tried posting to the 'ask the community' section, but got no response. 
4. The 'Product Support' section wasn't that helpful either. I looked for my problem (the search emails function wasn't working) and found a section under 'Organize and restore emails; search my saved messages', but it only took me to an instructions page on how to use the feature.
5. I finally found an email address by following links in the 'sending/receiving emails section', which wasn't actually the problem I",1,1
2014-06-29l,2014-07-05l,2014-06,140625-042282,1151448,jaditya,Email,2014-06-25l,2014-06-29l,0,AMR-EN-Mail-Tech-T1,SMB - Agents,SMB - Agents,4997,1,2,1,1,"I understand they sent a test e-mail and I am receiving them, but I still don't understand why it says I have over 170 mail messages and they are not there. Is this a glitch in your system or am I not receiving ALL my e-mails(question)",0,1
2014-06-29l,2014-07-05l,2014-06,140625-043662,1151449,jitender,Email,2014-06-25l,2014-06-29l,0,SMB-WebHosting-Tech-FL,SMB - Agents,SMB - Agents,4975,6,2,9,7,"I need my payment due date to the 3rd week of the month, in the first week is no good, & theres no way to change that
",0,1
2014-06-29l,2014-07-05l,2014-06,140624-029045,1151460,azmathm,Email,2014-06-24l,2014-06-29l,0,AMR-EN-Mail-Tech-T1,SMB - Agents,SMB - Agents,6679,1,2,1,1,Pathetic customer service ????,0,1
2014-06-29l,2014-07-05l,2014-06,140627-036274,1151488,bhuvanes,Email,2014-06-27l,2014-06-29l,0,SMB-WebHosting-Tech-FL,SMB - Agents,SMB - Agents,2529,9,1,9,8,,1,1
2014-06-29l,2014-07-05l,2014-06,140625-002020,1151516,azmathm,Email,2014-06-25l,2014-06-29l,0,AMR-EN-Mail-Tech-T1,SMB - Agents,SMB - Agents,5779,7,2,7,5,,0,1
2014-06-29l,2014-07-05l,2014-06,140624-066865,1151533,haritas,Email,2014-06-24l,2014-06-29l,0,SMB-LocalEnhanced-Tech-FL,SMB - Agents,SMB - Agents,6023,1,2,1,1,,0,1
2014-06-29l,2014-07-05l,2014-06,140624-055974,1151545,amreenb,Email,2014-06-24l,2014-06-29l,0,SMB-WebHosting-Tech-FL,SMB - Agents,SMB - Agents,6239,10,2,9,9,,0,1
2014-06-29l,2014-07-05l,2014-06,140623-066782,1151581,jaditya,Email,2014-06-23l,2014-06-27l,0,SMB-WebHosting-Tech-FL,SMB - Agents,SMB - Agents,6011,9,2,1,4,,0,1
2014-06-29l,2014-07-05l,2014-06,140627-022916,1151582,abduljab,Phone,2014-06-27l,2014-06-28l,0,SMB-WebHosting-Tech-phone-ET,SMB - Escalation Team,SMB - Escalation Team,1224,10,2,10,10,,0,1
2014-06-29l,2014-07-05l,2014-06,140625-065963,1151592,arifha,Email,2014-06-25l,2014-06-29l,0,AMR-EN-Mail-Tech-T1,SMB - Agents,SMB - Agents,4563,7,2,7,7,,0,1
2014-06-29l,2014-07-05l,2014-06,140624-035813,1151638,azmathm,Email,2014-06-24l,2014-06-29l,0,AMR-EN-Mail-Tech-T1,SMB - Agents,SMB - Agents,6572,1,2,1,2,"tried calling 5 times - never answered. help email was answered but I was totally unable to fix my problem. Went to an online service, pd. $$$, resolved within 30 minutes. am considering switching from yahoo - shame after all these years.",0,1
2014-06-29l,2014-07-05l,2014-06,140625-012592,1151641,sunilrd,Email,2014-06-25l,2014-06-29l,0,SMB-WebHosting-Tech-FL,SMB - Agents,SMB - Agents,5492,1,2,1,10,"Very dissatisfied with the service and what my feelings were toward the ""new and improved"" changes. NO web-based site should FORCE their clients to change browser, what they are comfortable with and served them well for years. I even tried the Firefox version and I had Rich HTML especially in my signature. Firefox is just plain and I lost the beauty of my signature and banners within. ",0,1
2014-06-29l,2014-07-05l,2014-06,140629-012847,1151694,mpriya,Phone,2014-06-29l,2014-06-29l,0,AMR-EN-YahooAcct-Phone-Tech-T1,SMB - Agents,SMB - Agents,3,10,2,7,7,No one reached out to me as I was told would happen,0,1
2014-06-29l,2014-07-05l,2014-06,140625-023440,1151748,rameshkr,Email,2014-06-25l,2014-07-03l,0,SMB-MarketingDashboard-Tech-FL,SMB - Agents,SMB - Agents,11092,1,2,1,10,Issue has not been resolved. I feel as if the responses I received were just automated responses with no actual effort to fix the problem. The problem still exists. I'm very disappointed with how yahoo has neglected to approve my listing.,0,1
2014-06-29l,2014-07-05l,2014-06,140625-054220,1151947,dainva,Email,2014-06-25l,2014-06-29l,0,AMR-EN-YahooAccts-T1,SMB - Agents,SMB - Agents,4797,1,2,1,1,,0,1
2014-06-29l,2014-07-05l,2014-06,140621-023750,1151958,haritas,Email,2014-06-21l,2014-06-29l,0,AMR-EN-Mail-Tech-T1,SMB - Agents,SMB - Agents,10879,1,2,3,6,A useless waste of my time even asking your team for help. The same solution was regurgitated several times — something I looked into before I contacted customer service and found on my own that it wasn't the correct course of action. My request is still unresolved.,0,1
