Calendar Date,Week End Date,YYYY Mm,Queue,Vendor Location Detail,Agent Name,CSR Completed In Service Level,CSR Completed Out Of Service Level,CSR Complete Total,CSR Escalation,CSR Redirect Total,EPH Count,EPH Time,EPH,MSG Age
2014-08-31,2014-09-06,2014-08,SMB-BusinessMail-Tech-FL,SMB - Agents,azmathm,40,1,24,1,0,22,12159,7,15363
2014-08-31,2014-09-06,2014-08,SMB-BusinessMail-Tech-FL,SMB - Agents,deenavb,5,1,6,0,0,4,6273,3,4457
2014-08-31,2014-09-06,2014-08,SMB-BusinessMail-Tech-phone-ET,SMB - Agents,eshanan,1,0,1,0,0,,,,29
2014-08-31,2014-09-06,2014-08,SMB-Domains-Tech-FL,SMB - Agents,arifha,3,0,3,0,0,7,2145,5,2541
2014-08-31,2014-09-06,2014-08,SMB-Domains-Tech-FL,SMB - Agents,arunya,40,19,59,0,0,55,14539,15,64867
2014-08-31,2014-09-06,2014-08,SMB-Domains-Tech-FL,SMB - Agents,ashishk1,5,0,5,0,0,5,7414,2,6719
2014-08-31,2014-09-06,2014-08,SMB-Domains-Tech-FL,SMB - Agents,raghavsa,9,17,26,1,1,27,19764,5,41708
2014-08-31,2014-09-06,2014-08,SMB-LocalEnhanced-Tech-FL,SMB - Agents,azmathm,0,4,4,0,0,,,,20055
2014-08-31,2014-09-06,2014-08,SMB-LocalEnhanced-Tech-FL,SMB - Agents,shafath,0,15,15,0,0,,,,383511
2014-08-31,2014-09-06,2014-08,SMB-MerchantSolutions-Tech-FL,SMB - Agents,deenavb,1,0,1,0,0,1,1910,2,176
2014-08-31,2014-09-06,2014-08,SMB-MerchantSolutions-Tech-FL,SMB - Agents,maryjert,7,0,7,0,0,8,20562,1,1481
2014-08-31,2014-09-06,2014-08,SMB-SMBOther-Tech-FL,SMB - Agents,ashishk1,1,13,14,0,0,16,2387,21,38276
2014-08-31,2014-09-06,2014-08,SMB-SocialMedia-Tech-FL,SMB - Agents,ashishk1,0,10,10,0,1,10,1009,36,31335
2014-08-31,2014-09-06,2014-08,SMB-WebHosting-Tech-FL,SMB - Agents,amreenb,4,9,13,0,0,14,23397,2,26405
2014-08-31,2014-09-06,2014-08,SMB-WebHosting-Tech-FL,SMB - Agents,ancilava,4,1,5,0,0,5,2477,7,3715
2014-08-31,2014-09-06,2014-08,SMB-WebHosting-Tech-FL,SMB - Agents,arifha,0,9,9,0,0,12,13690,2,24851
2014-08-31,2014-09-06,2014-08,SMB-WebHosting-Tech-FL,SMB - Agents,arunya,0,10,10,0,0,11,4077,9,29303
2014-08-31,2014-09-06,2014-08,SMB-WebHosting-Tech-FL,SMB - Agents,ashishk1,3,28,31,0,0,32,14941,7,72183
2014-08-31,2014-09-06,2014-08,SMB-WebHosting-Tech-FL,SMB - Agents,azmathm,0,6,6,0,0,6,62638,0,19406
2014-08-31,2014-09-06,2014-08,SMB-WebHosting-Tech-FL,SMB - Agents,deenavb,3,1,4,0,0,5,4232,3,5334
2014-08-31,2014-09-06,2014-08,SMB-WebHosting-Tech-FL,SMB - Agents,maryjert,0,2,2,0,1,2,728,10,5838
